Key,English,Vietnamese,Brazil,Turkish,German,France,Indonesian,Spanish,Russian,Korean,Japanese,Hindi,Ukrainian,Italian,Giải thích
local_ntf_t4_8am_tit,🧬 Time to evolve!,🧬 Đến lúc tiến hoá rồi!,🧬 Hora de evoluir!,🧬 Evrim zamanı!,🧬 Zeit zu evolvieren!,🧬 Il est temps d’évoluer !,🧬 Saatnya berevolusi!,🧬 ¡Hora de evolucionar!,🧬 Пора эволюционировать!,🧬 진화할 시간이에요!,🧬 進化の時！,🧬 विकास का समय!,🧬 Час еволюціонувати!,🧬 È ora di evolversi!,
local_ntf_t4_8pm_des,Can you beat it? Try now!,Bạn có vượt qua được không? Vào game thử liền nhé!,Você consegue vencer? Tente agora!,Geçebilir misin? Şimdi dene!,Schaffst du es? Versuch es jetzt!,Penses-tu pouvoir réussir ? Essaie maintenant !,Bisa menang? Coba sekarang!,¿Puedes superarlo? ¡Inténtalo ya!,Сможешь пройти? Попробуй сейчас!,극복할 수 있나요? 지금 도전하세요!,クリアできる？今すぐ挑戦！,क्या पार कर सकते हो? अभी आज़माओ!,Зможеш пройти? Спробуй зараз!,Riesci a superarlo? Prova ora!,
local_ntf_t4_8pm_tit,🔥 Most players fail this stage,🔥 Phần lớn người chơi đều thua màn này,🔥 A maioria falha nesta fase,🔥 Çoğu oyuncu bu bölümü geçemiyor,🔥 Die meisten scheitern an diesem Level,🔥 La plupart des joueurs échouent ici,🔥 Kebanyakan pemain kalah di level ini,🔥 La mayoría falla este nivel,🔥 Большинство игроков проигрывают здесь,🔥 대부분의 유저가 이 스테이지에서 패배합니다,🔥 多くのプレイヤーが失敗,🔥 ज़्यादातर खिलाड़ी यहाँ हार जाते हैं,🔥 Більшість гравців програють тут,🔥 La maggior parte dei giocatori fallisce qui,
local_ntf_t5_8am_des,Spin the wheel this morning to unlock a special character.,Quay vòng quay sáng nay để mở khoá nhân vật đặc biệt.,Gire a roleta esta manhã para desbloquear um personagem especial.,Bu sabah çarkı çevirerek özel karakteri aç.,Drehe heute Morgen das Rad und schalte einen besonderen Charakter frei.,Tourne la roue ce matin pour débloquer un personnage spécial.,Putar roda pagi ini untuk membuka karakter spesial.,Gira la ruleta esta mañana y desbloquea un personaje especial.,Прокрути колесо сегодня утром и открой особого персонажа.,오늘 아침 룰렛을 돌려 특별 캐릭터를 해금하세요.,今朝ルーレットを回して特別キャラを解放しよう。,आज सुबह घुमाकर विशेष पात्र खोलें।,Прокрути колесо зранку та відкрий особливого персонажа.,Gira la ruota questa mattina per sbloccare un personaggio speciale.,
local_ntf_t5_8am_tit,👤 A new character is waiting,👤 Nhân vật mới đang chờ bạn,👤 Um novo personagem está esperando,👤 Yeni bir karakter seni bekliyor,👤 Ein neuer Charakter wartet auf dich,👤 Un nouveau personnage t’attend,👤 Karakter baru menunggumu,👤 Un nuevo personaje te espera,👤 Новый персонаж ждёт тебя,👤 새로운 캐릭터가 기다리고 있어요,👤 新しいキャラが待っている,👤 नया पात्र आपका इंतज़ार कर रहा है,👤 Новий персонаж чекає на тебе,👤 Un nuovo personaggio ti aspetta,
local_ntf_t5_8pm_des,Jump back in and finish the stage.,Quay lại game và hoàn thành màn chơi nhé.,Volte ao jogo e complete a fase.,Oyuna dön ve bölümü tamamla.,Spring zurück ins Spiel und schließe das Level ab.,Retourne dans le jeu et termine le niveau.,Kembali ke game dan selesaikan level.,Vuelve al juego y completa el nivel.,Вернись в игру и заверши уровень.,게임에 돌아와 스테이지를 완료하세요.,ゲームに戻ってクリアしよう。,गेम में वापस आकर स्तर पूरा करें।,Повернись у гру та заверши рівень.,Torna nel gioco e completa il livello.,
local_ntf_t5_8pm_tit,⚡ Just one more run left,⚡ Chỉ còn thiếu một lượt nữa thôi,⚡ Falta só mais uma rodada,⚡ Sadece bir tur kaldı,⚡ Nur noch ein Lauf übrig,⚡ Plus qu’une partie,⚡ Tinggal satu ronde lagi,⚡ Solo queda una partida,⚡ Остался всего один забег,⚡ 한 판만 더 남았어요,⚡ あと1回だけ,⚡ बस एक रन बाकी है,⚡ Залишився ще один забіг,⚡ Manca solo un’altra corsa,
local_ntf_t6_8am_des,"Aim well, run smooth and collect gold before your day starts.","Vào game nhắm chuẩn, chạy mượt và gom vàng trước khi bắt đầu ngày mới.","Entre, mire bem, corra suave e junte ouro antes do dia começar.","Oyuna gir, iyi nişan al, akıcı koş ve altın topla.","Ziele gut, laufe flüssig und sammle Gold vor dem Start des Tages.","Vise juste, cours fluide et collecte de l’or avant de commencer la journée.","Masuk game, bidik tepat, lari mulus dan kumpulkan emas.","Apunta bien, corre suave y recoge oro antes de empezar el día.","Точно целься, беги плавно и собирай золото с утра.",정확히 조준하고 부드럽게 달리며 골드를 모으세요.,正確に狙ってスムーズに走り、ゴールドを集めよう。,"ठीक निशाना लगाएं, स्मूथ दौड़ें और सोना इकट्ठा करें।","Точно цілься, біжи плавно та збирай золото.","Mira bene, corri fluido e raccogli oro prima di iniziare la giornata.",
local_ntf_t6_8am_tit,☀️ Morning run to wake up,"☀️ Sáng rồi, chạy một màn cho tỉnh nào",☀️ Uma corrida matinal pra acordar,☀️ Sabah koşusu zamanı,☀️ Ein Lauf am Morgen zum Wachwerden,☀️ Une course matinale pour se réveiller,☀️ Lari pagi biar segar,☀️ Una carrera matutina para despertar,"☀️ Утренний забег, чтобы проснуться",☀️ 아침에 한 판 달려볼까요,☀️ 朝にひと走り,☀️ सुबह की दौड़ से तरोताज़ा हों,☀️ Ранковий забіг для бадьорості,☀️ Una corsa mattutina per svegliarsi,
local_ntf_t6_8pm_des,"Spin the wheel, watch your character run and smash pillars. Jump in and relax!","Quay vòng quay, xem nhân vật chạy và phá trụ. Vào game thư giãn thôi!","Gire a roleta, veja o personagem correr e destruir pilares. Entre no jogo e relaxe!","Çarkı çevir, karakterin koşup direkleri kırmasını izle. Oyuna gir ve rahatla!","Drehe das Rad, sieh deinem Charakter beim Laufen und Zerstören der Säulen zu. Steig ins Spiel ein und entspann dich!","Tourne la roue, regarde ton personnage courir et briser des piliers. Lance le jeu et détends-toi !","Putar roda, lihat karaktermu berlari dan menghancurkan pilar. Masuk game dan santai!","Gira la ruleta, mira a tu personaje correr y romper pilares. Entra al juego y relájate.","Прокрути колесо, смотри как персонаж бежит и ломает столбы. Заходи в игру и расслабься.",룰렛을 돌리고 캐릭터가 달리며 기둥을 부수는 모습을 보세요. 게임에 들어와서 쉬어보세요!,ルーレットを回して、キャラが走って柱を壊すのを見よう。ゲームに入ってリラックス！,"पहिया घुमाएं, पात्र को दौड़ते और खंभे तोड़ते देखें। गेम में आकर आराम करें!","Прокрути колесо, подивись як персонаж біжить і ламає стовпи. Заходь у гру та розслабся!","Gira la ruota, guarda il personaggio correre e distruggere i pilastri. Entra nel gioco e rilassati!",
local_ntf_t6_8pm_tit,🌙 A light run before resting,🌙 Chạy nhẹ một màn rồi nghỉ ngơi,🌙 Uma corrida leve antes de descansar,🌙 Dinlenmeden önce hafif bir koşu,🌙 Ein lockerer Lauf vor der Pause,🌙 Une petite course avant de se reposer,🌙 Lari santai sebelum istirahat,🌙 Una carrera ligera antes de descansar,🌙 Лёгкий забег перед отдыхом,🌙 쉬기 전에 가볍게 한 판,🌙 休む前に軽く1プレイ,🌙 आराम से पहले हल्की दौड़,🌙 Легкий забіг перед відпочинком,🌙 Una corsa leggera prima di riposare,
local_ntf_t7_8am_des,Collect gold and upgrade faster.,Vào game gom vàng và nâng cấp nhanh hơn nhé.,"Entre no jogo, junte ouro e evolua mais rápido.","Oyuna gir, altın topla ve hızlı yüksel.","Starte das Spiel, sammle Gold und verbessere dich schneller.","Entre dans le jeu, récupère de l’or et progresse plus vite.","Masuk game, kumpulkan emas dan upgrade lebih cepat.","Entra al juego, recoge oro y mejora más rápido.","Зайди в игру, собирай золото и улучшайся быстрее.",게임에 접속해 골드를 모으고 빠르게 강화하세요.,ゴールドを集めて素早く強化しよう。,गेम में जाकर सोना जमा करें और जल्दी अपग्रेड करें।,"Зайди в гру, збирай золото та прокачуйся швидше.","Entra nel gioco, raccogli oro e potenziati più velocemente.",
local_ntf_t7_8am_tit,🚀 Weekend run goes farther,"🚀 Cuối tuần, chạy xa hơn thường ngày",🚀 No fim de semana você corre mais longe,🚀 Hafta sonu daha uzağa koş,🚀 Am Wochenende läufst du weiter,"🚀 Le week-end, tu vas plus loin",🚀 Akhir pekan lari lebih jauh,🚀 El fin de semana corres más lejos,🚀 В выходные можно бежать дальше,🚀 주말엔 더 멀리 달려보세요,🚀 週末はもっと遠くへ,🚀 वीकेंड पर और दूर दौड़ें,🚀 На вихідних біжиш далі,🚀 Nel weekend corri più lontano,
local_ntf_t7_8pm_des,One small mistake and it's over. Dare to try?,Chỉ cần lệch một chút là thua. Bạn dám thử không?,Um pequeno erro e tudo acaba. Tem coragem?,Küçük bir hata ve biter. Denemeye cesaretin var mı?,Ein kleiner Fehler und alles ist vorbei. Traust du dich?,Un petit faux pas et c’est fini. Tu oses ?,"Sedikit saja meleset, kalah. Berani coba?",Un pequeño error y pierdes. ¿Te atreves?,Малейшая ошибка — и конец. Осмелишься?,조금만 틀려도 끝입니다. 도전할까요?,少しのミスで終了。挑戦する？,थोड़ी सी गलती और खत्म। हिम्मत है?,Трохи помилився — і кінець. Спробуєш?,Un piccolo errore e finisce tutto. Hai il coraggio?,
local_ntf_t7_8pm_tit,💥 This stage is intense,💥 Màn này hơi căng đấy,💥 Esta fase é tensa,💥 Bu bölüm oldukça zor,💥 Dieses Level ist ziemlich hart,💥 Ce niveau est tendu,💥 Level ini cukup menegangkan,💥 Este nivel es bastante intenso,💥 Этот уровень напряжённый,💥 이 스테이지는 꽤 빡셉니다,💥 このステージはハード,💥 यह स्तर काफी कठिन है,💥 Цей рівень напружений,💥 Questo livello è tosto,
max,MAX,TỐI ĐA,MÁX,MAKS,MAX,MAX,MAKS,MÁX,МАКС,최대,最大,अधिकतम,МАКС,MAX,
money,Money,Tiền,Dinheiro,Para,Geld,Argent,Uang,Dinero,Деньги,돈,お金,पैसे,Гроші,Soldi,
newera,New Era,Kỷ Nguyên Mới,Nova Era,Yeni Çağ,Neue Ära,Nouvelle Ère,Era Baru,Nueva Era,Новая эра,새로운 시대,新時代,नया युग,Нова ера,Nuova Era,
ntf_mes_1,You’ve been gone 24h! Log in and save us!,Bạn đã biến mất 24h! Đăng nhập và cứu bọn mình đi!,Você sumiu por 24h! Entre e nos salve!,24 saattir yoksun! Giriş yap ve bizi kurtar!,Du bist seit 24h weg! Log dich ein und rette uns!,Vous êtes parti 24h ! Connectez-vous et sauvez-nous !,Kamu hilang 24 jam! Masuk dan selamatkan kami!,¡Llevas 24h fuera! ¡Entra y sálvanos!,Тебя не было 24 часа! Войди и спаси нас!,24시간 동안 없었어요! 접속해서 우리를 구해주세요!,24時間も不在！ ログインして助けて！,आप 24 घंटे से गायब हैं! लॉग इन करें और हमें बचाएँ!,Тебе не було 24 годин! Увійди і врятуй нас!,Sei sparito da 24 ore! Accedi e salvaci!,
ntf_mes_2,Urgent! Log in now or today’s reward will cry!,Khẩn cấp! Đăng nhập ngay kẻo phần thưởng hôm nay khóc đấy!,Urgente! Entre agora ou a recompensa vai chorar!,Acil! Hemen giriş yap yoksa ödül ağlayacak!,"Dringend! Log dich ein, sonst weint die Belohnung!","Urgent ! Connectez-vous, ou la récompense va pleurer !",Mendesak! Masuk sekarang atau hadiahnya menangis!,¡Urgente! ¡Entra o la recompensa llorará!,"Срочно! Войди, иначе награда заплачет!",긴급! 지금 로그인 안 하면 보상이 울 거예요!,緊急！ ログインしないと報酬が泣いちゃうよ！,तुरंत! अभी लॉग इन करें नहीं तो इनाम रो देगा!,"Терміново! Увійди, бо нагорода заплаче!",Urgente! Accedi ora o la ricompensa piangerà!,
ntf_mes_3,24h offline? Rivals are celebrating! Come back!,24h không vào? Đối thủ ăn mừng rồi! Quay lại ngay!,24h offline? Rivais estão comemorando! Volte já!,24 saat offline mı? Rakipler kutluyor! Geri dön!,24h offline? Deine Rivalen feiern! Komm zurück!,24h hors-ligne ? Vos rivaux fêtent déjà ! Revenez !,24 jam offline? Rivalmu berpesta! Kembali!,¿24h offline? ¡Tus rivales celebran! ¡Vuelve!,24 часа оффлайн? Соперники празднуют! Вернись!,24시간 오프라인? 라이벌이 축하 중! 돌아오세요!,24時間オフ？ ライバルが祝ってるよ！ 戻って！,24 घंटे ऑफ़लाइन? आपके प्रतिद्वंद्वी जश्न मना रहे हैं! लौटें!,24 годин офлайн? Суперники святкують! Повертайся!,24h offline? I rivali festeggiano! Torna subito!,
ntf_mes_4,Red alert! Your hero is gathering dust—log in!,Báo động đỏ! Nhân vật của bạn đang phủ bụi—đăng nhập ngay!,Alerta vermelho! Seu herói está juntando poeira — entre já!,Kırmızı alarm! Kahramanın tozlanıyor—giriş yap!,Roter Alarm! Dein Held verstaubt — log dich ein!,Alerte rouge ! Votre héros prend la poussière — connectez-vous !,Siaga merah! Heromu berdebu—masuk sekarang!,¡Alerta roja! ¡Tu héroe se está llenando de polvo! ¡Entra ya!,Красная тревога! Твой герой покрывается пылью — войди!,레드 알럿! 영웅이 먼지 쌓이는 중—접속하세요!,レッドアラート！ ヒーローが埃まみれ—ログインして！,रेड अलर्ट! आपका हीरो धूल जमा रहा है—लॉग इन करें!,Червона тривога! Твій герой припадає пилом — увійди!,Allarme rosso! Il tuo eroe sta prendendo polvere — accedi!,
offer_1p1_des_1,"Buy 1, get 1 for","Mua 1, tặng 1","Compre 1, leve 1",1 alana 1,"Kaufe 1, erhalte 1","Achetez-en 1, obtenez-en 1","Beli 1, dapat 1",¡Compra 1 y llévate 1,"Купите 1, получите 1",1개 구매 시 1개,1つ買うと1つ,"1 खरीदें, 1","Купуйте 1, отримуйте 1","Compra 1, ricevi 1",
offer_1p1_des_2,<color=yellow>FREE</color>!,<color=yellow>MIỄN PHÍ</color>!,<color=yellow>GRÁTIS</color>!,<color=yellow>BEDAVA</color>!,<color=yellow>GRATIS</color>!,<color=yellow>GRATUIT</color> !,<color=yellow>GRATIS</color>!,<color=yellow>GRATIS</color>!,<color=yellow>БЕСПЛАТНО</color>!,<color=yellow>무료</color>!,<color=yellow>無料</color>！,<color=yellow>मुफ्त</color> पाएं!,<color=yellow>БЕЗКОШТОВНО</color>!,<color=yellow>GRATIS</color>!,
pack_unlock_until_era,Unlocked at <color=#F2F14C>{0}</color>,Mở khóa tại <color=#F2F14C>{0}</color>,Desbloqueado na <color=#F2F14C> {0}</color>,<color=#F2F14C>{0}</color> düzeyinde açılır,Freigeschaltet in <color=#F2F14C>{0}</color>,Débloqué à l'<color=#F2F14C>{0}</color>,Terbuka di <color=#F2F14C> {0}</color>,Desbloqueado en la <color=#F2F14C> {0}</color>,Открывается в <color=#F2F14C>{0}</color>,<color=#F2F14C>{0} 시대</color>에서 잠금 해제됨,<color=#F2F14C>時代 {0}</color>で解除,<color=#F2F14C>युग {0}</color> में अनलॉक किया गया,Відкрито в <color=#F2F14C>{0}</color>,Sbloccato nell'<color=#F2F14C> {0}</color>,
pack_unlock_until_era2,Unlocked at <color=#F2F14C>Era {0}</color>,Mở khóa tại <color=#F2F14C>Era {0}</color>,Desbloqueado na <color=#F2F14C>Era {0}</color>,<color=#F2F14C>Çağ {0}</color> düzeyinde açılır,Freigeschaltet in <color=#F2F14C>Ära {0}</color>,Débloqué à l'<color=#F2F14C>Ère {0}</color>,Terbuka di <color=#F2F14C>Era {0}</color>,Desbloqueado en la <color=#F2F14C>Era {0}</color>,Открывается в <color=#F2F14C>Эре {0}</color>,<color=#F2F14C>{0} 시대</color>에서 잠금 해제됨,<color=#F2F14C>時代 {0}</color>で解除,<color=#F2F14C>युग {0}</color> में अनलॉक किया गया,Відкрито в <color=#F2F14C>Епосі {0}</color>,Sbloccato nell'<color=#F2F14C>Era {0}</color>,
popup_gem_des,Get <color=#F2F14C>Premium Upgrades</color>,Mua <color=#F2F14C>Nâng Cấp Đặc Biệt</color>,Obtenha <color=#F2F14C>Melhorias Premium</color>,<color=#F2F14C>Premium Yükseltmeleri</color> Al,Hol dir <color=#F2F14C>Premium-Upgrades</color>,Obtenez des <color=#F2F14C>améliorations Premium</color>,Dapatkan <color=#F2F14C>Peningkatan Premium</color>,Obtén <color=#F2F14C>mejoras premium</color>,Получите <color=#F2F14C>премиум-улучшения</color>,<color=#F2F14C>프리미엄 업그레이드</color> 획득,<color=#F2F14C>プレミアムアップグレード</color>を入手,<color=#F2F14C>प्रीमियम अपग्रेड</color> प्राप्त करें,Отримайте <color=#F2F14C>преміум-покращення</color>,Ottieni <color=#F2F14C>potenziamenti premium</color>,
rating_description,Please rate and help us get better!,Hãy đánh giá để giúp chúng tôi hoàn thiện hơn nhé!,"Por favor, avalie e ajude-nos a melhorar!",Lütfen bizi değerlendirin ve gelişmemize yardımcı olun!,"Bitte bewerten Sie uns und helfen Sie uns, besser zu werden!",Veuillez nous noter et nous aider à nous améliorer !,Berikan penilaian dan bantu kami menjadi lebih baik!,"¡Por favor, califícanos y ayúdanos a mejorar!","Пожалуйста, оцените нас и помогите нам стать лучше!",평가를 통해 저희가 더 발전할 수 있도록 도와주세요!,評価して改善にご協力ください！,कृपया हमें रेट करें और बेहतर बनने में हमारी मदद करें!,"Будь ласка, оцініть нас і допоможіть нам стати кращими!","Per favore, valutaci e aiutaci a migliorare!",
rating_title,RATE US!,ĐÁNH GIÁ CHÚNG TÔI!,Avalie-nos!,Bizi değerlendirin!,Bewerte uns!,Notez-nous !,Nilai kami!,¡Califícanos!,Оцените нас!,평가해주세요!,評価してください！,हमें रेट करें!,Оцініть нас!,Valutaci!,
remove_ads_bundle_continue,CONTINUE WITH ADS,TIẾP TỤC VỚI QUẢNG CÁO,CONTINUAR COM ANÚNCIOS,REKLAMLARLA DEVAM ET,MIT WERBUNG FORTFAHREN,CONTINUER AVEC LA PUBLICITÉ,LANJUTKAN DENGAN IKLAN,CONTINUAR CON ANUNCIOS,ПРОДОЛЖИТЬ С РЕКЛАМОЙ,광고와 함께 계속하기,広告を見て続行,विज्ञापनों के साथ जारी रखें,ПРОДОВЖИТИ З РЕКЛАМОЮ,CONTINUA CON LA PUBBLICITÀ,
remove_ads_bundle_description,Remove force ads. Keep optional ads for reward,Gỡ bỏ quảng cáo bắt buộc. Giữ lại quảng cáo tự chọn để nhận thưởng.,Remover anúncios obrigatórios. Manter anúncios opcionais para recompensas.,Zorunlu reklamları kaldır. Ödül için isteğe bağlı reklamları tut.,Erzwungene Werbung entfernen. Optionale Werbung für Belohnungen behalten.,Supprimer les publicités forcées. Conserver les publicités facultatives pour les récompenses.,Hapus iklan paksa. Pertahankan iklan opsional untuk hadiah.,Eliminar anuncios obligatorios. Mantener anuncios opcionales por recompensa.,Удалить принудительную рекламу. Оставить необязательную рекламу за вознаграждение.,강제 광고 제거. 보상용 선택 광고 유지.,強制広告を削除。報酬用の任意広告は継続。,ज़बरन विज्ञापनों को हटाएँ। इनाम के लिए वैकल्पिक विज्ञापन रखें।,Видалити примусову рекламу. Залишити необов'язкову рекламу за винагороду.,Rimuovi gli annunci forzati. Mantieni gli annunci facoltativi per i premi.,
remove_ads_bundle_title,"Block Ads, Unlock Joy.","Tắt Quảng Cáo, Bật Niềm Vui","Bloqueie anúncios, desbloqueie a alegria.","Reklamları Engelle, Keyfin Kilidini Aç.","Werbung blockieren, Freude freischalten.","Bloquez les publicités, débloquez la joie.","Blokir Iklan, Buka Kegembiraan.","Bloquea anuncios, desbloquea la alegría.","Блокируйте рекламу, разблокируйте радость.","광고 차단, 즐거움을 잠금 해제하세요.",広告をブロックして、楽しさをアンロック。,"विज्ञापन ब्लॉक करें, खुशी अनलॉक करें।","Блокуйте рекламу, розблокуйте радість.","Blocca gli annunci, sblocca la gioia.",
restore_purschase,Restore Purchase,Khôi Phục Mua Hàng,Restaurar Compra,Satın Alımı Geri Yükle,Käufe wiederherstellen,Restaurer les achats,Pulihkan Pembelian,Restaurar compra,Восстановить покупку,구매 복원,購入を復元,खरीदारी पुनर्स्थापित करें,Відновити покупку,Ripristina acquisto,
reward,Rewards,Thưởng,Recompensas,Ödüller,Belohnungen,Récompenses,Hadiah,Recompensas,Награды,보상,報酬,इनाम,Нагороди,Premi,
sale,Sale,Giảm giá,Promoção,İndirim,Angebot,Promotion,Promo,Oferta,Распродажа,세일,セール,सेल,Розпродаж,Saldi,
select_account_description,"Choose the account you want to continue. One you choose, another one will be deleted permanently","Chọn tài khoản bạn muốn tiếp tục. Sau khi chọn, tài khoản còn lại sẽ bị xóa vĩnh viễn.","Escolha a conta com a qual deseja continuar. Assim que escolher, a outra será excluída permanentemente",Devam etmek istediğiniz hesabı seçin. Birini seçtiğinizde diğeri kalıcı olarak silinecektir,"Wählen Sie das Konto aus, mit dem Sie fortfahren möchten. Sobald Sie eines auswählen, wird das andere dauerhaft gelöscht","Choisissez le compte avec lequel vous souhaitez continuer. Une fois choisi, l'autre sera définitivement supprimé","Pilih akun yang ingin Anda gunakan untuk melanjutkan. Setelah Anda memilih, akun lainnya akan dihapus secara permanen","Elige la cuenta con la que quieres continuar. Una vez que elijas, la otra se eliminará de forma permanente","Выберите учетную запись, которую хотите продолжить использовать. После выбора другая будет удалена безвозвратно",계속할 계정을 선택하세요. 하나를 선택하면 다른 하나는 영구적으로 삭제됩니다,続行するアカウントを選択してください。選択すると、もう一方のアカウントは完全に削除されます,"वह खाता चुनें जिसे आप जारी रखना चाहते हैं। एक बार जब आप चुन लेंगे, तो दूसरा स्थायी रूप से हटा दिया जाएगा","Виберіть обліковий запис, який ви хочете продовжити. Після вибору інший буде видалено назавжди","Scegli l'account con cui desideri continuare. Una volta scelto, l'altro verrà eliminato in modo permanente",
select_account_tittle,SELECT ACCOUNT,CHỌN TÀI KHOẢN,SELECIONAR CONTA,Lütfen bizi değerlendirin ve gelişmemize yardımcı olun!,KONTO AUSWÄHLEN,SÉLECTIONNER UN COMPTE,PILIH AKUN,SELECCIONAR CUENTA,ВЫБРАТЬ АККАУНТ,계정 선택,アカウントを選択,खाता चुनें,ВИБРАТИ ОБЛІКОВИЙ ЗАПИС,SELEZIONA ACCOUNT,
setting,Setting,Cài đặt,Configurações,Ayarlar,Einstellungen,Paramètres,Pengaturan,Configuración,Настройки,설정,設定,सेटिंग,Налаштування,Impostazioni,
shop,SHOP,CỬA HÀNG,Loja,Mağaza,Shop,Boutique,Toko,Tienda,Магазин,상점,ショップ,दुकान,Магазин,NEGOZIO,
shop_bundle,Bundle,Gói,Pacote,Paket,Paket,Pack,Bundel,Paquete,Набор,번들,バンドル,बंडल,Набір,Pacchetto,
shop_energy,Energy,Năng Lượng,Energia,Enerji,Energie,Énergie,Energi,Energía,Энергия,에너지,エネルギー,ऊर्जा,Енергія,Energia,
shop_gems,Gem,Ngọc,Gema,Mücevher,Edelstein,Gemme,Permata,Gema,Самоцвет,보석,ジェム,रत्न,Гем,Gemma,
shop_offers,Offers,Gói,Ofertas,Teklifler,Angebote,Offres,Penawaran,Ofertas,Предложения,제안,オファー,ऑफ़र,Пропозиції,Offerte,
shop_preenergy_detail_1,Receive on Purchase:,Nhận Ngay: ,Receber na compra:,Satın Alımda Alınan:,Bei Kauf erhalten:,Reçu à l'achat :,Terima saat Pembelian:,Recibir al comprar:,Получите при покупке:,구매 시 수령:,購入時に受け取る：,खरीदारी पर प्राप्त करें:,Отримайте при купівлі:,Ricevi all'acquisto:,
shop_preenergy_detail_2,Energy Capacity:,Năng Lượng Tối Đa:,Capacidade de Energia:,Enerji Kapasitesi:,Energiekapazität:,Capacité d'énergie :,Kapasitas Energi:,Capacidad de energía:,Запас энергии:,에너지 용량:,エネルギー容量：,ऊर्जा क्षमता:,Ємність енергії:,Capacità energetica:,
shop_preenergy_detail_3,Energy Recharge Time:,Thời Gian Hồi:,Tempo de Recarga de Energia:,Enerji Yenilenme Süresi:,Energie-Aufladezeit:,Temps de recharge d'énergie :,Waktu Isi Ulang Energi:,Tiempo de recarga de energía:,Время восстановления энергии:,에너지 충전 시간:,エネルギー充電時間：,ऊर्जा रिचार्ज समय:,Час відновлення енергії:,Tempo di ricarica energia:,
shop_pregem_detail_1,"Start with <color=#EA5EF8>{0}</color> <sprite name=""gem""> for <color=#F2F14C>Each era</color>","Nhận ngay <color=#EA5EF8>{0}</color> <sprite name=""gem""> ở <color=#F2F14C>Kỷ Nguyên Mới</color>","Comece com <color=#EA5EF8>{0}</color> <sprite name=""gem""> para <color=#F2F14C>Cada era</color>","<color=#F2F14C>Her çağ</color> başında <color=#EA5EF8>{0}</color> <sprite name=""gem""> ile başla","Starte mit <color=#EA5EF8>{0}</color> <sprite name=""gem""> für <color=#F2F14C>jede Ära</color>","Commencez avec <color=#EA5EF8>{0}</color> <sprite name=""gem""> pour <color=#F2F14C>chaque ère</color>","Mulai dengan <color=#EA5EF8>{0}</color> <sprite name=""gem""> untuk <color=#F2F14C>Setiap era</color>","Comienza con <color=#EA5EF8>{0}</color> <sprite name=""gem""> en <color=#F2F14C>cada era</color>","Начинайте с <color=#EA5EF8>{0}</color> <sprite name=""gem""> в <color=#F2F14C>каждой эре</color>","<color=#F2F14C>각 시대</color>마다 <color=#EA5EF8>{0}</color> <sprite name=""gem"">로 시작","<color=#F2F14C>各時代</color>を<color=#EA5EF8>{0}</color> <sprite name=""gem"">で開始","<color=#F2F14C>प्रत्येक युग</color> के लिए <color=#EA5EF8>{0}</color> <sprite name=""gem""> के साथ शुरू करें","Починайте з <color=#EA5EF8>{0}</color> <sprite name=""gem""> у <color=#F2F14C>кожній ері</color>","Inizia con <color=#EA5EF8>{0}</color> <sprite name=""gem""> per <color=#F2F14C>ogni era</color>",
shop_pregem_detail_2,"Earn <color=#EA5EF8>{0}</color> <sprite name=""gem""> at the start of <color=#F2F14C>Each level</color>","Nhận <color=#EA5EF8>{0}</color> <sprite name=""gem""> khi bắt đầu <color=#F2F14C>Mỗi Màn Chơi</color>","Ganhe <color=#EA5EF8>{0}</color> <sprite name=""gem""> no início de <color=#F2F14C>Cada nível</color>","<color=#F2F14C>Her seviye</color> başında <color=#EA5EF8>{0}</color> <sprite name=""gem""> kazan","Erhalte <color=#EA5EF8>{0}</color> <sprite name=""gem""> zu Beginn <color=#F2F14C>jedes Levels</color>","Gagnez <color=#EA5EF8>{0}</color> <sprite name=""gem""> au début de <color=#F2F14C>chaque niveau</color>","Dapatkan <color=#EA5EF8>{0}</color> <sprite name=""gem""> di awal <color=#F2F14C>Setiap level</color>","Gana <color=#EA5EF8>{0}</color> <sprite name=""gem""> al comienzo de <color=#F2F14C>cada nivel</color>","Получайте <color=#EA5EF8>{0}</color> <sprite name=""gem""> в начале <color=#F2F14C>каждого уровня</color>","<color=#F2F14C>각 레벨</color> 시작 시 <color=#EA5EF8>{0}</color> <sprite name=""gem""> 획득","<color=#F2F14C>各レベル</color>の開始時に<color=#EA5EF8>{0}</color> <sprite name=""gem"">を獲得","<color=#F2F14C>प्रत्येक स्तर</color> की शुरुआत में <color=#EA5EF8>{0}</color> <sprite name=""gem""> कमाएं","Отримуйте <color=#EA5EF8>{0}</color> <sprite name=""gem""> на початку <color=#F2F14C>кожного рівня</color>","Guadagna <color=#EA5EF8>{0}</color> <sprite name=""gem""> all'inizio di <color=#F2F14C>ogni livello</color>",
shop_premiums,Premiums,Gói Cao Cấp,Premium,Premiumlar,Premium,Premiums,Premium,Premium,Премиум,프리미엄,プレミアム,प्रीमियम,Преміум,Premium,
